OrderID,OrderDate,CustomerID,Region,Category,Product,Quantity,UnitPrice,DiscountPercent,Sales,Cost,Profit,PaymentMethod,OrderStatus
ORD-10001,2025-12-02,CUST-1303,Central,Furniture,Cabinet,12,42939.47,0,515273.64,298965.42,216308.22,Digital Wallet,Returned
ORD-10002,2025-12-19,CUST-1205,North,Furniture,Cabinet,9,21141.34,0,190272.06,120064.2,70207.86,Card,Completed
ORD-10003,2025-06-08,CUST-1232,South,Electronics,Keyboard,11,81451.54,15,761571.9,727053.67,34518.23,Bank Transfer,Completed
ORD-10004,2025-10-31,CUST-1187,West,Furniture,Cabinet,3,75826.4,15,193357.32,180665.08,12692.24,Bank Transfer,Completed
ORD-10005,2025-12-24,CUST-1153,East,Furniture,Cabinet,9,35613.5,20,256417.2,180408.48,76008.72,Card,Returned
ORD-10006,2025-11-23,CUST-1040,East,Electronics,Keyboard,2,151207.17,0,302414.34,201556.69,100857.65,Card,Completed
ORD-10007,2025-01-05,CUST-1302,East,Electronics,Laptop,7,74641.82,20,417994.19,403193.06,14801.14,Bank Transfer,Completed
ORD-10008,2025-05-06,CUST-1181,South,Furniture,Desk,12,50215.51,15,512198.2,359707.32,152490.88,Digital Wallet,Returned
ORD-10009,2025-07-09,CUST-1013,East,Furniture,Shelf,9,45041.86,5,385107.9,220976.49,164131.41,Digital Wallet,Completed
ORD-10010,2025-08-19,CUST-1142,North,Electronics,Tablet,11,131401.4,5,1373144.63,1147875.79,225268.84,Card,Completed
ORD-10011,2025-10-27,CUST-1236,West,Electronics,Mouse,2,124799.02,0,249598.04,149555.89,100042.15,Card,Cancelled
ORD-10012,2025-08-19,CUST-1269,South,Electronics,Mouse,1,138723.6,0,138723.6,105139.3,33584.3,Card,Completed
ORD-10013,2025-01-27,CUST-1316,South,Books,History Book,2,3039.91,5,5775.83,3768.15,2007.67,Bank Transfer,Cancelled
ORD-10014,2025-12-16,CUST-1115,Central,Books,Novel,2,4891.63,20,7826.61,5673.1,2153.51,Bank Transfer,Cancelled
ORD-10015,2025-05-18,CUST-1305,North,Books,Novel,8,873.22,15,5937.9,5016.38,921.51,Digital Wallet,Returned
ORD-10016,2025-05-26,CUST-1184,South,Electronics,Laptop,5,116400.59,0,582002.95,374041.08,207961.87,Digital Wallet,Completed
ORD-10017,2025-01-03,CUST-1205,Central,Sports,Racket,11,11294.94,0,124244.34,99495.2,24749.14,Cash,Cancelled
ORD-10018,2025-01-29,CUST-1182,Central,Sports,Racket,8,22148.73,5,168330.35,125890.08,42440.27,Bank Transfer,Cancelled
ORD-10019,2025-08-27,CUST-1050,South,Books,Python Book,12,5418.43,0,65021.16,35626.85,29394.31,Bank Transfer,Completed
ORD-10020,2025-12-17,CUST-1195,West,Electronics,Laptop,11,145895.64,20,1283881.63,1063220.45,220661.18,Bank Transfer,Cancelled
