Actual Price,Linear Prediction,Tree Prediction
23.6,30.96,22.2
32.4,32.27,27.9
13.6,17.15,15.2
22.8,23.4,24.6
16.1,15.95,16.7
20.0,22.68,18.5
17.8,17.03,23.2
14.0,13.92,17.8
19.6,21.41,20.2
16.8,21.18,21.2
21.5,21.91,21.4
18.9,19.66,21.4
7.0,-4.68,8.4
21.2,24.78,23.0
18.5,19.01,22.6
29.8,25.64,30.7
18.8,18.39,18.8
10.2,3.05,7.2
50.0,39.3,46.0
14.1,17.38,11.7
25.2,25.42,24.6
29.1,28.97,24.7
12.7,12.88,14.4
22.4,24.1,28.7
14.2,16.5,13.0
13.8,13.7,11.7
20.3,21.84,22.0
14.4,16.08,14.6
21.7,19.14,19.4
18.3,20.43,21.2
23.1,22.21,18.3
23.8,25.98,20.7
15.0,24.73,10.4
20.8,16.9,19.9
19.1,13.71,14.4
19.4,18.5,15.2
34.7,33.37,37.9
19.5,20.09,22.0
24.4,20.4,19.8
23.4,26.32,22.9
19.7,13.75,22.5
28.2,30.97,27.5
50.0,41.36,41.7
17.4,17.71,21.1
22.6,29.4,20.1
15.1,15.79,13.0
13.1,14.86,15.6
24.2,27.64,22.9
19.9,17.63,15.6
24.0,30.12,24.5
18.9,19.77,22.7
35.4,34.27,31.2
15.2,16.57,13.4
26.5,27.88,22.0
43.5,39.93,46.7
21.2,20.79,19.5
14.8,17.4,14.9
28.5,31.32,32.0
23.9,24.84,22.9
18.5,13.76,22.5
25.0,20.82,23.3
35.4,29.2,36.2
31.5,32.21,26.2
20.2,17.76,18.2
24.1,21.21,30.1
20.0,13.45,14.4
13.1,17.14,17.8
24.8,24.22,23.3
30.8,30.03,29.8
12.7,13.32,15.6
20.0,22.07,19.3
23.7,25.48,21.0
10.8,8.93,7.2
20.6,16.43,22.2
20.8,25.16,26.4
5.0,4.14,8.4
20.1,21.6,21.7
48.5,38.25,48.3
10.9,16.44,10.2
7.0,12.35,8.1
20.9,22.36,24.2
17.2,10.22,16.3
20.9,19.77,18.6
9.7,6.65,8.3
19.4,22.7,16.2
29.0,29.38,26.6
16.4,19.87,16.7
25.0,25.93,23.1
25.0,28.19,24.3
17.1,21.07,16.2
23.2,27.73,22.6
10.4,7.39,7.4
19.6,20.82,19.2
17.2,15.91,18.7
27.5,12.32,20.7
23.0,22.31,19.2
50.0,24.01,50.0
17.9,1.59,12.0
9.6,17.27,14.6
17.2,18.62,16.3
22.5,22.55,19.0
21.4,24.1,18.5
