age,income,experience_years,education,city,job_type,credit_score,monthly_spending,loan_amount,loan_approved
56,42622.0,37,Bachelor,Karachi,Freelance,577.0,1307.0,3388422.0,1
46,76367.0,25,Bachelor,Islamabad,Business,592.0,3458.0,4312988.0,1
32,47420.0,12,Master,Karachi,Private,626.0,2365.0,1882051.0,1
60,61380.0,36,Master,Islamabad,Freelance,686.0,1673.0,2509384.0,1
25,65015.0,0,High School,Islamabad,Government,635.0,1566.0,197437.0,1
38,68482.0,16,Bachelor,Lahore,Business,726.0,3476.0,3152461.0,1
56,50094.0,33,Master,Karachi,Private,752.0,1628.0,2498606.0,0
36,68284.0,9,Bachelor,Islamabad,Freelance,722.0,2677.0,1364460.0,0
40,47784.0,21,Master,Lahore,Government,793.0,1568.0,2913463.0,1
28,79834.0,8,Bachelor,Rawalpindi,Private,709.0,1998.0,1570972.0,1
28,62473.0,8,Bachelor,Lahore,Government,595.0,2529.0,1387777.0,0
41,68411.0,15,High School,Lahore,Private,775.0,2623.0,2227801.0,1
53,121538.0,29,Bachelor,Islamabad,Government,638.0,3354.0,842981.0,1
57,40644.0,32,Bachelor,Peshawar,Business,744.0,1459.0,2719462.0,1
41,95549.0,14,Bachelor,Peshawar,Government,790.0,4529.0,849609.0,1
20,20000.0,0,Master,Peshawar,Government,712.0,810.0,854951.0,0
39,20000.0,16,Master,Lahore,Government,575.0,481.0,981279.0,0
19,37706.0,0,Bachelor,Islamabad,Private,616.0,1474.0,2483550.0,1
41,39094.0,23,Master,Karachi,Private,773.0,1730.0,1244902.0,1
61,69481.0,36,Bachelor,Lahore,Government,668.0,3283.0,586804.0,1
47,71377.0,23,Bachelor,Lahore,Private,686.0,2984.0,1254888.0,1
55,59394.0,36,Master,Islamabad,Private,733.0,1540.0,1771162.0,0
19,61703.0,0,Bachelor,Rawalpindi,Government,729.0,2746.0,737125.0,1
38,76611.0,16,Bachelor,Lahore,Private,700.0,3326.0,763487.0,1
50,83331.0,26,High School,Rawalpindi,Private,665.0,1804.0,3700167.0,0
29,35816.0,8,Bachelor,Rawalpindi,Government,658.0,1238.0,1025491.0,0
39,57038.0,17,Master,Peshawar,Private,740.0,1821.0,1509262.0,0
